COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 

Island Mallow / Tree Mallow 		 Lavatera assurgentiflora 		 Channel Islands native. 10-15' high x 8-10' wide. Tolerates coastal conditions. Can be drought deciduous. Sun to part sun; semi-dry soil. Magenta flowers. Zones 9-10. 		 LavaAssurg 		 10-15' h x 8-10' w"""" 		 

Caper Bush 		 Capparis spinosa 		 Perennial has low, arching branches w/ thick leaves & white flowers. Immature flower buds are pickled; young berries edible. Prefers sun; dry soil; low water. Zones 9-11. 		 CappSpin 		 2-3' h x w; mounding"" 		 

Sweet Springs Catchfly 		 Silene laciniata ssp. californica 		 Collected at Sweet Springs Nature Preserve. Bright red notched flowers. Sun; sandy soil; low water. Grows 12-18" high x 12" wide. Hummingbird favorite. Zones 5-10. 		 SilLacSS 		 12-18" h x 12" w"""" 		 

Yellow Sand Verbena 		 Abronia latifolia 		 Very low grower has clusters of yellow verbena-like flowers. Grows in beach fore-dunes. Prefers salt spray & sand; well-drained soil. Attracts butterflies. Zone 10. 		 AbrLat 		 under 6" h; spreads""" 		 

Blochman's Groundsel 		 Senecio blochmaniae 		 SLO County native collected at Black Lake Ecological Area. 2-3' tall; slender green leaves; yellow flowers. Prefers sun, sandy soil, low water. Zone 9. 		 SenBloch 		 2-3' tall; columnar""" 		 

Coast Sunflower 		 Encelia californica 		 Perennial grows to 3-4'. Topped with yellow daisy-like flowers that attract beneficial insects. Native to Southern California. Sun; low water. Zones 9-11. 		 EnceliaCal 		 3-4' h x w"""" 		 

Kichijokan Agave 		 Agave potatorum 'Kichijokan' 		 Very attractive gray-blue leaves tipped with orange-burgundy spires & teeth. Good in containers. Grows to 12" high & wide. Full sun to light shade; low water. Zones 9-11. 		 AgaveKichi 		 12" h x w"""" 		 

Jerusalem Sage 		 Phlomis fruticosa 		 Perennial grows 3-4' high & wide. Prefers full sun; low water. Deer resistant. Interesting yellow downward-turned flowers. Slightly fuzzy gray leaves. Zones 8-10. 		 PhlomisFr 		 3-4' h x w"""" 		 

Stonecrop 		 Sedum clavatum 		 4-6" high mounded plant. Frosty green leaves have pink tips in sun or cold. White blooms. Heat tolerant; low maintenance. Prefers sun; low water. Zones 9-11. 		 SedClav 		 4-6" mounding"""" 		 

Rosenkuppel Ornamental Oregano 		 Origanum laevigatum 'Rosenkuppel' 		 Perennial grows to 2' high with flowers. Dark purple buds open to mid-lavender flowers. Sun; low water. Cut to ground in winter. Nice dried flower. Zones 6-11. 		 OrigLaeRosn 		 to 2' h in bloom"""" 		 

Rue 		 Ruta graveolens 		 Perennial grows 2-3' high & wide with rounded bluish-green leaves. Pungent odor. Likes poor soil, sun, & hot, dry areas. Medicinal. Toxic in large amounts. Zones 4-9. 		 RutaGrav 		 2-3' h x w"""" 		 

Cherry Sensation Cordyline 		 Cordyline australis 'Cherry Sensation' 		 Striking accent plant. Vibrant variegated pink. Grows to 3' high & wide; softly arching leaves. Sun to part shade; well-drained soil; low to moderate water. Zones 8-10. 		 CordCherry 		 to 3' h x w"""" 		 

Ascot Rainbow Spurge 		 Euphorbia x martinii 'Ascot Rainbow' 		 USPP 21401. Propagation prohibited. Lime, cream, & green leaves with burgundy & red in cold weather. Matching flowers. Sun to part shade; low water. Zones 7-10. 		 EuphAscRain 		 20" h x w"""" 		 

Bright Star Yucca 		 Yucca gloriosa 'Bright Star' 		 USPP #17653. Variegated green & yellow in warm weather; shows pink in cold weather. Slow grower to 18" h x 2-3' w. Sun to part shade; low water. Zones 7-10. 		 YuccaBrtSt 		 18" h x 2-3' w"""" 		 

Rose Glow Barberry 		 Berberis thunbergii atropurpurea 'Rose Glow' 		 Grows 3-6' high x 4-7' wide. Showy plant with burgundy & pink foliage spashed with silver. Sun; average water. Berries attract birds. Great fall color. Zones 4-9. 		 BerbThnRosG 		 3-6' h x 4-7' w; slow" 		 

Succulent 		 Echeveria shaviana 		 Interesting ruffle-leafed succulent grows in sun to part shade. Best ruffles on older plants. Drought tolerant. Does well in containers or in ground. Zones 9-11. 		 EchShavian 		 6-8" h x 12" w"""" 		 

Bicolor / African Iris 		 Dietes (Moraea) bicolor 		 Upright, bunching plant; sword-like leaves. 18" high x 2' wide. 3" creamy white/pale yellow flowers w/ dark burgundy spots. Sun to part sun; medium water. Zones 8-11. 		 DietesBicol 		 18" h x 2' wide clump" 		 

Peter's Choice Dogwood 		 Cornus sericea (stolonifera) 'Peter's Choice' 		 CA native shrub prefers woodland or riparian habitat; shade & moist soil. Red bark all year. Best color in winter after leaves drop. Whitish flowers & berries. Zones 3-9. 		 CornusPetCh 		 7-9' h x 12' w"""" 		 

Short Leaf Aloe 		 Aloe brevifolia 		 Soft gray leaves with white teeth. Grows 6-8" high; red-orange flowers to 18" high. Prefers sun to part sun; dry between waterings. South African native. Zones 9-11. 		 AloeBrevi 		 6-8"; bloom to 18""""" 		 

Blue Haze Spurge 		 Euphorbia 'Blue Haze' 		 USPP #14868. Powder blue foliage; yellow-green flowers. Semi-spreading growth 12-18" high x 18-24" wide. Prefers sun; well-drained soil; moderate water. Zones 7-10. 		 EuphBluHaz 		 12-18" h x 18-24" w""" 		 

Marie Simon Ceanothus 		 Ceanothus x pallidus 'Marie Simon' 		 Semi-decidous hybrid has red stems. Pink flowers in midsummer. Grows 5-8' high x wide. Sun to part shade; tolerates some summer water; prefers less water. Zones 6-10. 		 CeanMariSim 		 5-8' h x w"""" 		 

Sweet Springs Nightshade 		 Solanum xanti 		 Collected at Sweet Springs, Los Osos CA. Soft gray-green fuzzy leaves & periwinkle-purple flowers. Prefers part shade; tolerates sun; well-drained soil. Zones 8-10. 		 SolXant 		 up to 2-3' h x w"""" 		 

Salal 		 Gaultheria shallon 		 CA coastal native grows 2-10' h x 5' w depending on conditions. Prefers loamy, moist soil & part shade, but tolerates most conditions. Edible "berries" in fall. Zones 6-9 		 GaulthShal 		 range: 2-10' h x 5' w" 		 

Smooth Agave 		 Agave desmetiana 		 Upright slightly curved leaves; rosette to 3' diameter. Pale yellow flowers on stalk to 8-10' on 8 year-old + plants. Sun to part shade; little water. Zones 9-11. 		 AgaveDesmet 		 rosettes to 3'"""" 		 

Baja Fairy Duster 		 Calliandra californica 		 Baja native shrub 2-6' high & wide. Finely cut, dark green leaves; red thread-like flowers. Sun; low water; well-drained soil. Attracts hummingbirds. Zone 8b-10 (15 deg). 		 CallianCali 		 2-6' h x w"""" 		 

Cinnamon Red Hots Dianthus 		 Dianthus caryophyllus 'Cinnamon Red Hots' 		 Patented. Mid-sized 'pink' grows to 16" high x 14" wide. Fragrant, deep red blooms. Nice accent plant. Full sun; average water. Zones 6-10. 		 DianthCinRe 		 to 16" h x 14" w"""" 		 

Afterglow Echeveria 		 Echeveria 'Afterglow' 		 Silver-lavender leaves form rosettes. Sun to part shade; low water; well-drained soil. 10-18" high x 12-16" wide. Nice accent. Zones 9-11. 		 EchAfterG 		 10-18" h x 12-16" w""" 		 

Fire and Ice Echeveria 		 Echeveria subrigida 'Fire and Ice' 		 Pale sea-foam green leaves have red margins. Sun to part shade; low water; well-drained soil. Low maintenance. Grows up to 12" h x 1-2' w. Zones 9-11. 		 EchFire&Ice 		 to 12" h x 1-2' w"""" 		 

Retro Choke Agave 		 Agave parryi truncata 		 Patented. Frosty blue leaves have dark burgundy-black teeth. Forms a very tight, cabbage-like head. 2-3' high x 1' wide. Upright grower. Sun; low water. Zones 7-11. 		 AgaveParTr 		 2-3' h x 1' w; upright 		 

Blue Glow Agave 		 Agave 'Blue Glow' 		 Patented. Wide blue leaves have maroon-red-yellow margins. Full sun; little water. Striking in late afternoon sun. Zones 7-11. 		 AgaveBluGlo 		 1-2' h x 2-3' w; slow" 		 

Zebra Grass 		 Miscanthus sinensis 'Zebrinus' 		 Tall grass has green leaves banded with yellow. Feathery pink flowers. Grows 5-7' tall with flowers by 2-3' wide. Sun to part sun; average water. Zones 6-11. 		 MiscZebrin 		 5-7' h x 2-3' w"""" 		 

Golden Garden Sage 		 Salvia officinalis 'Icterina' 		 Ornamental and culinary sage has gray-green and gold variegated leaves. Prefers sun; low water. Grows 2' high & wide. Deer resistant. Eat fresh or dried. Zones 7-10. 		 SalvOffIct 		 2' h x w"""" 		 

Pig's Ear 		 Cotyledon orbiculata 		 Gray leaves edged with red resemble pigs ears. South African native prefers sun and little water. Orange bell-shaped flowers. Grows 1-2' high & wide. Zones 9-12. 		 CotyledOrb 		 1-2' h x w"""" 		 

Xenox Stonecrop 		 Sedum 'Xenox' 		 USPP #16888. Propagation Prohibited. Deep burgundy-purple leaves; pink bloom in fall. Sun; low water. Zones 3-9. 		 SedXenox 		 12-16" h x w"""" 		 

California Black Walnut 		 Juglans hindsii 		 Deciduous tree grows to 50' tall. Fast-growing. Produces edible walnuts with very hard shells. Difficult to garden under. Riparian habitat. Used as rootstock. Zones 7-10. 		 JugCal 		 to 50' tall; fast"""" 		 

Blochman's Leafy Daisy 		 Erigeron blochmaniae 		 SLO County native to dunes and coastal hillsides. Grows 15-30" high & wide w/ pale lavender flowers. Good butterfly plant. Low water; well-drained soil. Rare. Zones 7-10. 		 ErigBloch 		 15-30" h x w"""" 		 

Chalk Live-forever 		 Dudleya pulverulenta X 		 Open-pollinated D. pulverulenta seed parent. Fast-growing, vigorous plant has silver-gray leaves. Prefers sun; low water. Drought tolerant. Deer resistant. Zones 8-10. 		 DudPulvX 		 rosettes 1'+ h x w"""" 		 

Hidcote Giant Lavender 		 Lavandula x intermedia 'Hidcote Giant' 		 3' high x 2' wide. Large light lavender-blue flowers on long stems. Fragrant; dries well. Prefers full sun; low water; well-drained soil. Deer resistant. Zones 6-10. 		 LavIntHidGn 		 to 3' h x 2' w"""" 		 

Crystal Rose Geranium 		 Geranium x cantabrigiense 'Crystal Rose' 		 USPP #20809. Propagation Prohibited. Hot pink flowers stand over low green mound. 12" high & wide. Winter leaves tinted orange. Sun to part shade; low water. Zones 5-9. 		 GerCrysRos 		 12" h x w; hot pink""" 		 

Blue Chalk Sticks 		 Senecio mandraliscae 'Blue' 		 Blue finger-like leaves make nice contrast. Insignificant flowers. Grows to 1-2' h x 2-3' w. Prefers full sun; tolerates light shade. Low to moderate water. Zones 9-12. 		 SenMandBl 		 1-2' h x 2-3' w"""" 		 

Dwarf Russian Sage 		 Perovskia atriplicifolia 'Little Spires' 		 USPP #11643. Propagation Prohibited. Grows 18-24" high & wide. Gray-green leaves; violet-blue flowers in summer. Prefers sun; low water. Zones 5-9. 		 PerovLitSp 		 18-24" h x w"""" 		 

California Holly Grape / Barberrry 		 Mahonia pinnata 'Ken Hartman' 		 aka Berberis. Grows 4-6' h x w. Green, spiny holly-like leaves show some fall color. Yellow flowers then blue-black berries. Part sun; moderate water. Zones 7-11. 		 MahKenHart 		 4-6' h x w"""" 		 

Creeping Barberry 		 Mahonia repens 		 Grows 1-2' high and spreads out. Yellow flowers followed by blue-black fruit. Nice fall color. Spiny holly-like leaves. Part sun; average water needs. Zones 5-10. 		 MahRep 		 1-2' h; spreading"""" 		 

Showy Penstemon 		 Penstemon spectabilis 		 Southern California native grows to 3-4' high w/ showy blue-purple-lavender flowers. Chaparral & coastal dune scrub. Attracts hummingbirds. Sun; average water. Zone 6-10. 		 PensSpect 		 3-4' tall in bloom"""" 		 

Mule Fat / Seep Willow 		 Baccharis salicifolia 		 10-12' h x w CA native perennial. Prefers sun; regular water. Creamy flowers attract butterflies & beneficial insects. Great restoration plant; bank stabilizer. Zone 7-10 		 BaccSalic 		 10-12' h x w"""" 		 

Summer Wine Yarrow 		 Achillea x 'Summer Wine' 		 Green ferny leaves topped with dark burgundy flowers. Grows 2' h x 2-4' wide. Sun to light shade; average soil & water. Deer resistant. Nice cut flowers. Zones 3-8. 		 AchXSumW 		 to 2' h; burgundy"""" 		 

Flames of Passion Geum 		 Geum 'Flames of Passion' 		 USPP #13730. Perennial, repeat bloomer has semi-double scarlet flowers. Grows 16-20" h x 12-18" wide. Sun to part shade; average to low water; average soil. Zones 5-9. 		 GeumFlmPas 		 16-20" h x 12-18" w""" 		 

Orange Sedge 		 Carex testacea 		 New foliage is green then turns coppery brown-orange. Prefers full sun; well-drained soil. Upright & slightly arching. 18-24" high; 18" wide. Deer resistant. Zones 6-10. 		 CarexTest 		 18-24" tall"""" 		 

Sensation Rose Salvia 		 Salvia nemorosa 'Sensation Rose' 		 USPP #18230. Dwarf sage grows to 12" x 12". Short spikes of rose-pink flowers spring into summer. Prefers sun; low to moderate water. Looks great w/blue salvia. Zones 3-9 		 SalvNemSR 		 12" h x w"""" 		 

Sea Lettuce 		 Dudleya caespitosa X - Cambria 		 Open-pollinated seed collected in Cambria, CA. Native sea bluff succulent. Narrow, upright silver leaves on large "trunks."  Sun to part shade. Low water. Zones 9-11. 		 DudCaesCmb 		 to 1' h x w; 18" bloom 		 

Paradise Manzanita 		 Arctostaphylos pajaroensis 'Paradise' 		 Stunning shrub grows 3-5' high x 6-8' wide. Pink flowers over long bloom season. New growth bronze-red; older leaves blue-gray. Sun; well-drained soil. Zones 7-10. 		 ArctPajPar 		 3-5' h x 6-8' w"""" 		 

Los Osos Bush Lupine 		 Lupinus arboreus - Los Osos 		 California coastal native shrub collected in Los Osos, CA. Grows to 5-8' tall & wide. Flowers are usually lavender- blue and white. Little to no water. Full sun. 		 LupiArbLO 		 5-8' h x w"""" 		 

Sunburst Ruby Beardtongue 		 Penstemon x mexicali 'Sunburst Ruby' 		 Nice habit. Grows 18" high & wide. Sun to part shade; average water. Flowers are ruby-red with white throats. Long bloom season; deadhead for best bloom. Zones 4-10. 		 PensSunRub 		 18" h x w"""" 		 

Red Hot Poker 		 Kniphofia 'Flamenco Mix' 		 Mixed flower colors in reds, oranges, and yellows. Green sword-like leaves. Grows 30" high x 24" wide. Prefers sun; tolerates part shade; moderate water. Zones 5-10. 		 KniFlamMx 		 30" h x 24" w clumps"" 		 

SLO Narrow-leaf Milkweed 		 Asclepias fascicularis - SLO 		 SLO County collected native. Long narrow leaves topped w/pale pink to white flowers. Food source for Monarch butterflies. Sun; low water; to 3'. Zones 6-10. 		 AsclFascSLO 		 to 3' h; pale pink"""" 		 

Sageleaf Rockrose 		 Cistus salvifolius 		 Wide spreading shrub to 2' high x 6' wide. Small gray-green leaves are wrinkled and veined. Profuse white flowers have yellow spot at base. Sun; little water. Zone 7-10. 		 CistusSalv 		 to 2' h x 6' w"""" 		 

Sundown Coneflower 		 Echinacea 'Big Sky Sundown' 		 USPP #17659. Grows to 3' h x 2' w. Large deep orange flowers have light rose-like scent. Prefer sun; moderate water; average soil. Deer resistant. Zones 4-9. 		 EchinSunD 		 to 3' h x 2' w"""" 		 

Curly Willow 		 Salix matsudana 		 Medium-sized deciduous tree has curled and twisted branches. Prefers moist soil along water; full sun. Fast grower to 40-50' tall. Bright green leaves. Zones 5-10. 		 SalixMatsu 		 40-50' tall; fast"""" 		 

Wood Strawberry 		 Fragaria vesca 		 California native grows 4-6" high and spreads. Wide range of soils; average water; part sun to part shade. White flowers followed by small, tasty berries. Zones 7-10. 		 FragVesc 		 4-6" h & spreading"""" 		 

White Icicle Currant 		 Ribes sanguineum glutinosum 'White Icicle' 		 Attractive plant has showy white, fragrant flowers. Sun to part shade; average to moist soil. Grows 6-8' high x wide. Berries attract birds. Winter deciduous. Zones 6-10. 		 RibesWhtIce 		 6-8' h x w; white"""" 		 

Mrs. Bradshaw Geum 		 Geum chiloense 'Mrs. Bradshaw' 		 Mounded plant grows 1-2' high x 1-1.5' wide. Prefers sun; medium water. Low maintenance. Orange-red flowers. Deadhead for best bloom. Tolerates most soils. Zones 5-9. 		 GeumMrsB 		 1-2' h x 12-18" w"""" 		 

Bella Lavender 		 Lavandula stoechas 'Bella Lavender' 		 Showy, compact Spanish Lavender grows 12 to 18" high & wide. Prefers sun; well-drained soil; low water. Dark flowers are topped by large lavender brachts. Zones 8-10. 		 LavBelLav 		 12-18" h x w"""" 		 

Rainbow Sunrise Flax 		 Phormium 'Rainbow Sunrise' 		 Attractive slightly arching flax is bronzy-green with apricot, pink, and red stripes. Color varies with age of leaf. Sun to part shade; low to medium water. Zones 8-11. 		 PhormRSun 		 2-3' h x w; arching""" 		 

Creeping Winter Savory 		 Satureja montana ssp. illyrica 		 Deep green trailing perennial grows to 6" high. Pink-purple flowers in summer. Prefers sun; well-drained soil; low water. Fragrant & attractive. Zones 4-10. 		 SatMontIlly 		 to 6" h; trailing"""" 		 

Blazing Sunset Geum 		 Geum chiloense 'Blazing Sunset' 		 Large double scarlet-red flowers look like roses. Grows 24" high x 18" wide. Prefers sun; afternoon shade inland; average water. Deadhead for best bloom. Zones 5-9. 		 GeumBlazSun 		 to 24" h x 18" w"""" 		 

Marie Antoinette Veronica 		 Hebe 'Marie Antoinette' 		 Spreading evergreen shrub to 3' has narrow, dark green leaves. Burgundy new growth & stems. Cerise flowers fade to light pink. Sun; moderate water. Zones 9b-11. 		 HebeMariAn 		 3' h x w; spreading""" 		 

Pesto Perpetuo Basil 		 Ocimum x citriodorum 'Pesto Perpetuo' 		 USPP #16260. Variegated basil grows 18-24" high x 12" wide. Slight lemon fragrance and flavor. Prefers regular water. Sun to afternoon shade. Culinary & ornamental. Zones 		 OciPestPer 		 18-24" h x 12" w"""" 		 

Orange Monkey Flower 		 Mimulus 'Orange' 		 California native grows 2-3' h x w. Dark green, sticky leaves. Orange flowers have frilly petals. Sun to part shade; low to moderate water. Prune to shape. Zones 9-11. 		 MimOrange 		 2-3' h x w"""" 		 

Bella Rouge Spanish Lavender 		 Lavandula stoechas 'Belrou' 		 USPP #16700. Compact plant has narrow gray-green leaves. 2' h x w. Dark purple-pink flowers are topped by pale lavender brachts. Prefers sun; low water. Zones 8-10. 		 LavBelRou 		 to 2' h x w"""" 		 

Pink Panther Hyssop 		 Agastache 'Pink Panther' 		 Fragrant bronzy-green foliage is topped with dark rose-pink flowers. Attracts hummingbirds & butterflies. Prefers sun; tolerates part shade. Low to mod. water. Zones 6-10 		 AgasPinkPan 		 dark pink bloom"""" 		 

Sensation Deep Blue Salvia 		 Salvia nemorosa 'Sensation Deep Blue' 		 USPPP. 12" high & wide. Blue summer bloom. Sun; moderate water. Zones 4-10. 		 SalvNemSDB 		 12" h x w"""" 		 

Dwarf Sweet Pea Shrub 		 Polygala fruticosa 		 Shrub grows to 3' high & wide with purple-pink sweet-pea-like flowers. Long bloom season. Tolerates coastal conditions. Prefers sun; moderate water. Zones 9-11. 		 PolyFrut 		 3' h x w"""" 		 

Canary Island Sage 		 Salvia canariensis 		 Canary Island native. Long, furry, arrow-shaped gray-green leaves. Purple flowers w/ magenta calyx. Grows 4-6' high & wide. Prefers sun; moderate water. Zones 8-10. 		 SalvCanar 		 4-6' h x w"""" 		 

Regal Velvet Kangaroo Paw 		 Anigozanthos 'Regal Velvet' 		 PPAF; Propagation Prohibited. Green flowers with burgundy base. Zones 9-11. 		 AnigRegVelv 		 green/burgundy to 4'+" 		 

Amber Velvet Kangaroo Paw 		 Anigozanthos 'Amber Velvet' 		 PPAF; Propagation Prohibited. Amber-orange blooms to 3'. Zones 9-11. 		 AnigAmbVelv 		 orange-gold to 3'"""" 		 

Red Cross Kangaroo Paw 		 Anigozanthos 'Red Cross' 		 Burgundy flowers with green interior on 4 to 5' stems. Great for cut flowers or in landscape. Prefers full sun; low water; well-drained sandy soil.  Zones 9-11. 		 AnigRedCros 		 burgundy to 4-5' h"""" 		 

Sweet Springs Sand Verbena 		 Abronia umbellatum - Sweet Springs 		 Collected in Los Osos. Low grower to 6". Bright pink flowers; long bloom season. Attracts butterflies & moths. Fragrant at night. Prefers sandy soil; seaside. Zones 9-10. 		 AbrUmbSS 		 under 6" h; spreads""" 		 

Purple Threeawn 		 Aristida purpurea 		 Midwest & Western native. Grows to 2' high & wide. Prefers dry soil; sun; low water. Drought tolerant. Purple-tinted stems & flowers. Good erosion control. Zones 6-10. 		 AristPurp 		 2' h x w"""" 		 

Comfrey 		 Symphytum x uplandicum 		 Long history as a medicinal plant used in salves. Leaves add N-P-K nutrient to compost. Grows in sun to part shade; regular water. Purplish bell-like flowers. Zones 4-10. 		 SymphUplnd 		 1-2' h; spreading"""" 		 

Hot Papaya Echinacea 		 Echinacea Cone-fections 'Hot Papaya' 		 USPPP; Propagation Prohibited. 30-36" h x 24-30" w; bright orange. Zones 3-10. 		 EchinHotPap 		 30-36" h x 24-30" w""" 		 

Blue Boy Rosemary 		 Rosmarinus officinalis 'Blue Boy' 		 Compact, slow-growing rosemary has pale blue flowers & tiny leaves. 18" high & wide. Full sun; low water. Fragrant with great flavor. Use fresh or dried. Zones 8-11. 		 RosmBluBoy 		 18" h x w"""" 		 

Ivy Geranium 		 Pelargonium peltatum 		 Tender perennial grows 1-2' high x 2-3' wide. Long bloom season with flowers. Prefers sun to light shade. Edible flowers. Good in baskets/boxes. Zones 9-11. 		 PelPelt 		 1-2' h x 2-3' w"""" 		 

Rose Pink Autumn Sage 		 Salvia greggii 'Rose Pink' 		 Evergreen shrub with pink flowers over long bloom season. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGRoseP 		 2-3' h x w; pink"""" 		 

Big Ears / Lamb's Ears 		 Stachys byzantina 'Helen Von Stein' 		 Large-leafed variety has fuzzy gray "ears." Prefers sun; low water. Does not like overhead water. Drought tolerant. Doesn't flower frequently. 12" h x 18" w. Zones 5-10. 		 StachHVS 		 12" h x 18" w"""" 		 

Fragrant Sunshine Wallflower 		 Erysimum 'Walfrasun' 		 USPP #13432. Propagation Prohibited. Gray-green leaves; fragrant yellow flowers. 18" high x 24" wide. Prefers full sun; low to average water. Zones 7-10. 		 ErysWalfSn 		 18" h x 24" w"""" 		 

Gray Sage / Purple Sage 		 Salvia leucophylla 		 CA native grows 3-5' high & wide. Light pink to light purple flowers. Fragrant silver-gray leaves. Prefers dry soil; sun; low water. Bird & butterfly plant. Zones 6-10. 		 SalvLeuco 		 3-5' h x w"""" 		 

Pink Frost Lenten Rose 		 Helleborus x 'HGC Pink Frost' 		 USPPP. Propagation Prohibited. 12-15" h x 24" w. Winter bloomer. Soft mauvy-pink. Zones 5-10. 		 HellePinkFr 		 12-15" h x 24" w"""" 		 

Skurwemannetjie 		 Crassula pruinosa 		 Rounded shape to 8". Prefers sun; tolerates light shade; well-drained soil; little water. Small white flowers in summer. South African native. Zones 9-11. 		 CrassPruin 		 mounding to 8""""" 		 

Early Bird Fizzy Dianthus 		 Dianthus 'WP08VER03' Fizzy 		 USPP #21394. Patented; Propagation prohibited. Very popular bicolor pink & burgundy blooms. Sun; low water. Zones 6-10. 		 DianthEBFiz 		 up to 8" h x 10" w"""" 		 

Scent First Passion Dianthus 		 Dianthus 'WP Passion' 		 USPP #20440. Propagation prohibited. Compact to 12" h x w. Full sun; moderate water. Fragrant double red. Zones 5-10. 		 DianthPass 		 to 12" h x w"""" 		 

Midnight Aloe 		 Aloe gastrolea 'Midnight' 		 Dark bronze leaves; orange flower. Grows 8" to 16" high in flower. Sun to part shade. Slow grower takes years to reach full size. Low water; well-drained soil. Zones 9-11 		 GasteraloeM 		 8" h; 16" h bloom"""" 		 

Albuca 		 Albuca sp. 'Augrabies Hill' 		 Large bulbs topped with narrow grassy leaves. Flowers are white with green stripes. Average water; keep dry when dormant. Will have off-sets. Houseplant. Zones 9-11. 		 AlbucaAug 		 under 12"; fragrant""" 		 

Madeira Cranesbill 		 Geranium maderense 		 Biennial & sometimes perennial grows to 3' high & taller. Showy pink flowers cover plant. Prefers shade to part shade; moist soil. Zones 9-11. 		 GerMad 		 to 3'+ h x w; pink"""" 		 

Strawberry Tree 		 Arbutus 'Marina' 		 Grows 25 to 40' tall with large dark green leaves. Pink flowers; red berries; red peeling bark. Prefers sun, well-drained soil; infrequent deep water when est. Zone 9-11. 		 ArbMarina 		 25-40' tall"""" 		 

Glacier Blue Spurge 		 Euphorbia characias 'Glacier Blue' 		 USPP #19027. Patented; Propagation prohibited. Blue & white leaves. Grows 12-18" h x 18" w. Zones 7-10. 		 EuphGlacBl 		 12-18" h x 18" w"""" 		 

Mojito Mint 		 Mentha x villosa 'Mojito' 		 AKA Cuban Mint. Very fragrant leaves on 18-24" plants. Sun to part shade in hot climates; regular water. White bloom. Native to Cuba & used in drinks. Zones 5-10. 		 MenthMojito 		 18-24" h & spreading"" 		 

Chia Sage 		 Salvia columbariae 		 California native. Lacy foliage; 1" blue-purple flowers on 1-2' stalks. Spiny. Prefers sun, well-drained soil; low water. Seeds very nutritious. Reseeds. Annual. 		 SalvColumb 		 1-2' flower spikes"""" 		 

Strawberry Mint 		 Mentha spicata 'Strawberry' 		 From Europe. Bright green leaves; unusual strawberry fragrance; pale violet flowers. Prefers part shade, regular water, loamy soil. Use in teas, potpourri. Zones 5-10. 		 MenthStraw 		 to 2' h; spreading"""" 		 

Roman Beauty Rosemary 		 Rosmarinus officinalis 'Roman Beauty' 		 USPP #18192. Patented; Propagation Prohibited. Slow grower to 1-2' h x w. Zones 8-10. 		 RosmRomB 		 1-2' h x w"""" 		 

Everett's Choice California Fuchsia 		 Epilobium (Zauschneria) c. lat. 'Everett's Choice' 		 CA native grows 6-12" h x 2-3' w. Scarlet red flowers over hairy gray-green leaves. Prefers sun & occasional deep water. Attracts hummingbirds. Zones 7-10. 		 EpiEverett 		 6-12" h x 2-3' w"""" 		 

Variegated Coast Rosemary 		 Westringia fruticosa 'Morning Light' 		 Strongly variegated. Grows 3-4' h x w. Sun at coast; needs light shade in summer or inland. Low to moderate water. White flowers in summer. Zones 9-11. 		 WestMornL 		 3-4' h x w"""" 		 

White Diamond Stonecrop 		 Sedum pachyclados 		 Blue-green leaves form toothed rosettes. Low-grower to 6" high x 12" wide. Prefers sun; medium to poor well-drained soil. White flowers. Nice in rock gardens. Zones 5-9. 		 SedPachy 		 to 6" h x 12" w"""" 		 

Warley Rose Rockrose 		 Cistus incanus creticus 'Warley Rose' 		 Compact perennial grows 1-2' h x 3-4' wide. Prefers sun; low water. Tolerates poor soil. Crinkled leaves; bright pink flowers. Good in rock gardens. Zones 7-10. 		 CistusWarR 		 1-2' h x 3-4' w"""" 		 

Early Bird Frosty Dianthus 		 Dianthus 'WP10VEN06' Frosty 		 PPAF. Blooms spring to fall if deadheaded. Compact 5-8" h x 10" w. Fragrant double white flowers. Zone 5-10. 		 DianthEBFro 		 5-8" h x 10" w"""" 		 

Early Bird Chili Dianthus 		 Dianthus 'WP10SAB06' Chili 		 PPAF. Blooms spring to fall if deadheaded. Compact 4-7" h x 8" w. Fragrant double coral flowers. Zone 5-10. 		 DianthEBChi 		 4-7" h x 8" w"""" 		 

Early Bird Sherbet Dianthus 		 Dianthus 'WP08NIK03' Sherbet 		 USPP #21418. Blooms spring to fall if deadheaded. Compact 4-7" h x 8" w. Fragrant double pink flowers. Zone 5-10. 		 DianthEBShe 		 4-7" h x 8" w"""" 		 

Silver Select California Fuchsia 		 Epilobium (Zauschneria) californica 'Silver Select' 		 Bright silver-gray narrow leaves on mound 1-2' h x 3-4' w. Bright red-orange flowers attract hummingbirds. Prefers sun; poor soil; low water. Prune to shape. Zones 7-10. 		 EpiSilvSel 		 1-2' h x 3-4' w"""" 		 

Creeping Germander 		 Teucrium ackermannii 		 Spreading perennial with gray leaves and dark pink blooms in late spring/early summer. Grows 4-6" h x 18" w. Prefers sun; average soil; low water. Zones 7-10. 		 TeucAcker 		 4-6" h x 18" w"""" 		 

